GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp,GROUP_VALUE_ORDER,GROUP_VALUE_2
Points Scored,L,2,0,2,0.0,24.858333333333334,6,15,0.4,6,14,0.429,0,0,0.0,1,3,4,3,0,1,0,0,1,1,18,-3,30.3,0,0,33.0,2,4,6,4,5,4,4,4,2,2,2,5,5,5,2,2,2,2,4,2,3,1,2,4,4,4,2,1,1,2,1,1641745,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:12.001359,,90-99 Points
Points Scored,L,2,0,2,0.0,14.283333333333333,2,11,0.182,1,9,0.111,0,0,0.0,1,1,2,0,0,1,1,0,1,0,5,8,13.4,0,0,12.0,2,4,6,4,7,7,6,7,6,4,6,5,5,5,2,6,6,5,4,2,2,1,2,7,7,2,7,1,1,7,1,1641745,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:12.001359,,100+ Points 
Points Scored,L,1,0,1,0.0,28.325,8,14,0.571,6,7,0.857,1,2,0.5,0,0,0,0,1,1,0,0,0,2,23,-19,25.0,0,0,31.0,5,4,4,4,2,2,5,1,2,6,1,3,2,3,6,7,7,5,3,2,3,1,1,3,2,7,4,1,1,3,1,1641745,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:12.001359,,60-69 Points
Points Scored,L,1,0,1,0.0,23.05,7,16,0.438,4,11,0.364,2,2,1.0,0,3,3,2,0,0,0,0,3,1,20,-7,26.6,0,0,29.0,5,4,4,4,6,3,2,3,4,3,3,2,2,1,6,2,4,3,4,6,3,1,5,4,3,6,3,1,1,4,1,1641745,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:12.001359,,70-79 Points
Points Scored,L,6,0,6,0.0,90.51666666666667,23,56,0.411,17,41,0.415,3,4,0.75,2,7,9,5,1,3,1,0,5,4,66,-21,95.3,0,0,105.0,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1641745,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:12.001359,0.0,All
Points Against,W,25,25,0,1.0,148.1,20,68,0.294,11,49,0.224,1,2,0.5,5,17,22,12,4,4,2,2,10,1,52,18,110.4,0,0,109.0,1,1,1,1,1,1,1,5,1,1,5,3,1,3,1,1,1,1,1,1,1,5,6,5,1,2,1,1,1,1,1,1641745,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:12.001359,,100+ Points 
Points Against,W,6,6,0,1.0,51.63166666666667,12,33,0.364,9,21,0.429,2,2,1.0,3,5,8,5,1,4,0,0,5,4,36,36,64.1,0,0,66.0,2,2,1,1,3,3,3,2,3,3,2,1,1,1,2,3,3,2,3,1,3,1,3,1,3,1,3,1,1,3,2,1641745,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:12.001359,,90-99 Points
Points Against,W,4,4,0,1.0,16.891666666666666,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,0,0,0,0,0,2,0,3,-16,5.4,0,0,6.0,4,3,1,1,6,6,6,6,6,6,4,6,6,6,5,5,5,5,5,6,3,1,2,6,6,5,6,1,1,6,1,1641745,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:12.001359,,80-89 Points
Points Against,W,2,2,0,1.0,50.36,8,23,0.348,2,13,0.154,1,2,0.5,2,4,6,2,2,1,0,2,5,4,19,9,30.2,0,0,31.0,5,4,1,1,4,4,4,4,5,4,6,3,1,3,3,4,4,4,2,4,3,5,3,1,5,3,4,1,1,4,1,1641745,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:12.001359,,70-79 Points
Points Against,W,37,37,0,1.0,266.98333333333335,41,128,0.32,23,87,0.264,4,6,0.667,10,28,38,19,7,9,2,4,22,9,110,47,210.1,0,0,212.0,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1641745,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:12.001359,0.0,All
Points Against,L,5,0,5,0.0,62.19166666666667,15,42,0.357,11,34,0.324,2,2,1.0,2,7,9,5,0,2,1,0,5,2,43,-2,70.3,0,0,74.0,3,5,6,5,2,2,2,3,1,2,3,1,1,1,3,2,2,2,5,3,2,1,3,3,2,4,2,1,1,2,1,1641745,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:12.001359,,100+ Points 
Points Against,L,1,0,1,0.0,28.325,8,14,0.571,6,7,0.857,1,2,0.5,0,0,0,0,1,1,0,0,0,2,23,-19,25.0,0,0,31.0,6,5,5,5,5,4,5,1,4,5,1,3,1,3,5,6,6,5,3,4,3,1,1,3,4,6,5,1,1,4,1,1641745,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:12.001359,,90-99 Points
Points Against,L,6,0,6,0.0,90.51666666666667,23,56,0.411,17,41,0.415,3,4,0.75,2,7,9,5,1,3,1,0,5,4,66,-21,95.3,0,0,105.0,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1641745,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:12.001359,0.0,All
Overall,2024,4,2,2,0.5,100.355,23,37,0.622,0,2,0.0,14,16,0.875,15,20,35,3,11,7,4,2,18,10,60,18,128.5,1,0,120.0,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,1,1641766,PlayerDashboardByTeamPerformance,0,2025-08-10T12:54:19.496096,,
Overall,2024-25,15,5,10,0.333,320.8616666666667,79,149,0.53,5,12,0.417,15,20,0.75,56,60,116,19,22,7,14,17,34,31,186,-45,394.7,6,0,368.0,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1641766,PlayerDashboardByTeamPerformance,0,2025-08-10T12:54:19.496096,,
Score Differential,W,3,3,0,1.0,64.915,14,23,0.609,0,1,0.0,6,7,0.857,9,14,23,4,4,3,4,4,4,6,34,19,84.6,1,0,75.0,2,1,1,1,4,4,4,3,5,5,5,2,2,3,4,3,4,3,5,1,2,4,2,4,4,1,4,3,1,4,2,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,,5 Points and Under
Score Differential,W,2,2,0,1.0,54.3,11,18,0.611,0,0,0.0,6,7,0.857,9,9,18,2,6,3,1,0,4,5,29,9,59.6,1,0,57.0,5,2,1,1,5,5,5,2,5,6,5,2,2,3,4,5,5,5,2,1,5,1,2,5,5,3,5,3,1,5,2,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,,6-10 Points
Score Differential,W,1,1,0,1.0,24.025,7,10,0.7,1,2,0.5,1,1,1.0,5,2,7,2,2,1,1,0,4,4,16,10,31.4,0,0,30.0,6,3,1,1,6,6,6,1,2,3,2,6,6,1,6,6,6,5,6,5,5,1,2,6,6,2,6,6,1,6,1,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,,Over 20 Points
Score Differential,W,1,1,0,1.0,7.766666666666667,1,2,0.5,0,0,0.0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,2,2,6.8,0,0,6.0,6,3,1,1,7,7,7,6,5,6,5,7,7,7,7,7,7,7,7,7,7,1,1,7,7,4,7,6,1,7,1,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,,11-15 Points
Score Differential,W,7,7,0,1.0,151.00666666666666,33,53,0.623,1,3,0.333,13,15,0.867,26,26,52,8,12,7,6,4,12,15,81,40,182.4,2,0,168.0,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,0.0,All
Score Differential,L,6,0,6,0.0,110.655,32,54,0.593,1,5,0.2,9,10,0.9,19,24,43,4,10,3,3,7,20,11,76,-3,141.6,2,0,136.0,1,5,7,5,1,1,1,4,2,1,4,1,1,2,1,1,1,3,1,1,3,7,7,1,1,5,1,1,1,1,2,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,,6-10 Points
Score Differential,L,3,0,3,0.0,83.70833333333333,18,44,0.409,1,4,0.25,5,6,0.833,13,18,31,5,6,1,6,4,7,8,47,-39,106.7,2,0,98.0,2,5,5,5,2,3,2,7,2,2,3,4,4,5,2,2,2,1,2,5,1,4,5,2,2,7,2,1,1,2,1,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,,5 Points and Under
Score Differential,L,3,0,3,0.0,75.84666666666666,19,35,0.543,2,2,1.0,2,5,0.4,13,12,25,5,5,3,3,4,13,7,42,-25,92.5,1,0,86.0,2,5,5,5,3,2,3,5,1,3,1,5,5,6,2,4,3,1,4,1,3,4,6,3,3,6,3,3,1,3,1,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,,16-20 Points
Score Differential,L,12,0,12,0.0,270.21,69,133,0.519,4,11,0.364,16,21,0.762,45,54,99,14,21,7,12,15,40,26,165,-67,340.8,5,0,320.0,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1641766,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:19.496661,0.0,All
Points Scored,W,5,5,0,1.0,97.40666666666667,21,31,0.677,1,2,0.5,7,8,0.875,14,13,27,5,9,3,4,2,11,11,51,34,102.9,0,0,98.0,1,1,1,1,2,3,3,1,3,4,1,1,1,2,2,3,3,2,1,1,2,3,5,2,3,1,3,6,1,3,2,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,,100+ Points 
Points Scored,W,1,1,0,1.0,25.0,6,10,0.6,0,0,0.0,5,6,0.833,7,5,12,1,2,3,0,0,1,3,17,3,39.9,1,0,36.0,5,2,1,1,6,5,6,2,4,6,4,4,4,5,5,6,6,6,6,1,7,1,2,5,5,3,5,3,1,5,1,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,,90-99 Points
Points Scored,W,1,1,0,1.0,28.6,6,12,0.5,0,1,0.0,1,1,1.0,5,8,13,2,1,1,2,2,0,1,13,3,39.6,1,0,34.0,5,2,1,1,5,5,5,6,4,5,4,6,6,1,6,5,5,4,7,6,4,3,1,6,6,3,6,3,1,6,1,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,,80-89 Points
Points Scored,W,7,7,0,1.0,151.00666666666666,33,53,0.623,1,3,0.333,13,15,0.867,26,26,52,8,12,7,6,4,12,15,81,40,182.4,2,0,168.0,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,0.0,All
Points Scored,L,5,0,5,0.0,94.25666666666666,26,48,0.542,2,4,0.5,7,8,0.875,14,22,36,4,8,2,3,5,4,12,66,-19,122.2,2,0,118.0,1,4,7,4,3,1,1,4,1,1,1,1,1,2,2,1,1,3,2,4,3,6,3,1,1,6,2,1,1,1,2,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,,100+ Points 
Points Scored,L,4,0,4,0.0,101.29666666666667,23,48,0.479,2,4,0.5,3,6,0.5,18,17,35,7,6,3,6,5,18,8,52,-39,125.5,2,0,114.0,3,4,6,4,1,2,1,7,1,1,1,5,4,6,1,2,2,1,3,1,1,6,7,3,2,7,1,1,1,2,1,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,,90-99 Points
Points Scored,L,2,0,2,0.0,50.60666666666667,15,28,0.536,0,3,0.0,6,7,0.857,12,10,22,2,3,2,2,4,14,6,37,4,75.4,1,0,69.0,4,4,5,4,4,4,4,5,4,3,4,3,3,4,4,4,4,4,5,4,4,5,6,4,4,2,4,3,1,4,2,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,,80-89 Points
Points Scored,L,1,0,1,0.0,24.05,5,9,0.556,0,0,0.0,0,0,0.0,1,5,6,1,4,0,1,1,4,0,10,-13,17.7,0,0,19.0,5,4,4,4,7,7,7,3,4,6,4,7,7,7,7,6,7,6,4,7,6,2,3,7,7,5,7,6,1,7,1,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,,70-79 Points
Points Scored,L,12,0,12,0.0,270.21,69,133,0.519,4,11,0.364,16,21,0.762,45,54,99,14,21,7,12,15,40,26,165,-67,340.8,5,0,320.0,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1641766,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:19.496661,0.0,All
Points Against,W,4,4,0,1.0,68.10666666666667,16,23,0.696,1,2,0.5,6,7,0.857,12,9,21,4,5,3,3,2,8,9,39,28,83.2,0,0,77.0,2,1,1,1,3,3,3,1,2,3,2,3,3,3,3,4,4,2,2,3,3,3,4,2,3,1,3,4,1,3,2,1641766,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:19.496661,,90-99 Points
Points Against,W,2,2,0,1.0,53.6,12,22,0.545,0,1,0.0,6,7,0.857,12,13,25,3,3,4,2,2,1,4,30,6,79.5,2,0,70.0,4,2,1,1,4,4,4,4,3,4,3,3,3,3,3,3,3,4,6,2,4,3,1,4,4,2,4,2,1,4,2,1641766,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:19.496661,,80-89 Points
Points Against,W,1,1,0,1.0,29.3,5,8,0.625,0,0,0.0,1,1,1.0,2,4,6,1,4,0,1,0,3,2,12,6,19.7,0,0,21.0,5,3,1,1,5,5,6,2,3,5,3,5,5,1,5,6,5,5,3,5,5,1,2,5,5,2,5,4,1,5,1,1641766,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:19.496661,,100+ Points 
Points Against,W,7,7,0,1.0,151.00666666666666,33,53,0.623,1,3,0.333,13,15,0.867,26,26,52,8,12,7,6,4,12,15,81,40,182.4,2,0,168.0,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,1641766,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:19.496661,0.0,All
Points Against,L,8,0,8,0.0,170.10333333333332,45,83,0.542,4,6,0.667,9,13,0.692,27,34,61,9,13,5,6,9,17,19,108,-44,214.7,3,0,204.0,1,4,6,4,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,6,5,1,1,6,1,1,1,1,2,1641766,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:19.496661,,100+ Points 
Points Against,L,3,0,3,0.0,76.05666666666667,19,41,0.463,0,5,0.0,7,8,0.875,17,15,32,4,4,2,5,5,19,7,47,-10,108.4,2,0,97.0,3,4,5,4,2,2,2,6,3,2,3,2,2,2,2,2,2,2,3,4,2,5,6,3,2,4,2,2,1,2,2,1641766,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:19.496661,,90-99 Points
Points Against,L,1,0,1,0.0,24.05,5,9,0.556,0,0,0.0,0,0,0.0,1,5,6,1,4,0,1,1,4,0,10,-13,17.7,0,0,19.0,5,4,4,4,6,5,5,3,3,5,3,6,6,6,6,5,5,5,3,5,5,2,3,6,6,5,6,4,1,6,1,1641766,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:19.496661,,80-89 Points
Points Against,L,12,0,12,0.0,270.21,69,133,0.519,4,11,0.364,16,21,0.762,45,54,99,14,21,7,12,15,40,26,165,-67,340.8,5,0,320.0,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1641766,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:19.496661,0.0,All
Overall,2024,8,5,3,0.625,172.58166666666668,17,30,0.567,0,0,0.0,12,13,0.923,12,30,42,6,17,9,21,3,39,20,46,-18,178.4,0,0,154.0,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1641737,PlayerDashboardByTeamPerformance,0,2025-08-10T12:54:24.943014,,
Overall,2024-25,58,12,46,0.207,904.55,135,192,0.703,0,1,0.0,67,100,0.67,92,153,245,27,61,26,69,13,125,90,337,-112,895.5,3,0,799.0,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1641737,PlayerDashboardByTeamPerformance,0,2025-08-10T12:54:24.943014,,
Score Differential,W,5,5,0,1.0,87.94166666666666,13,21,0.619,0,0,0.0,6,6,1.0,9,20,29,3,10,6,8,1,16,5,32,22,103.3,1,0,92.0,6,1,1,1,7,4,5,8,1,2,1,5,7,1,5,4,5,5,3,2,6,3,6,9,5,1,5,1,1,5,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,5 Points and Under
Score Differential,W,5,5,0,1.0,100.075,10,16,0.625,0,0,0.0,5,10,0.5,11,21,32,4,6,0,12,2,22,8,25,14,99.4,0,0,85.0,6,1,1,1,4,7,6,7,1,2,1,7,4,10,4,3,4,3,7,9,3,8,8,5,7,2,6,4,1,6,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,11-15 Points
Score Differential,W,3,3,0,1.0,52.166666666666664,5,9,0.556,0,0,0.0,5,5,1.0,4,7,11,4,2,1,5,1,8,6,15,-2,50.2,0,0,42.0,8,3,1,1,9,9,8,9,1,2,1,7,9,1,8,9,9,3,9,8,8,3,3,7,9,5,8,4,1,9,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,6-10 Points
Score Differential,W,2,2,0,1.0,54.583333333333336,6,9,0.667,0,1,0.0,6,9,0.667,3,9,12,1,7,2,4,0,5,6,18,6,44.9,0,0,43.0,9,4,1,1,8,8,8,6,1,1,1,5,5,7,9,8,8,8,5,6,9,1,2,7,8,3,9,4,1,8,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,16-20 Points
Score Differential,W,2,2,0,1.0,10.883333333333333,2,2,1.0,0,0,0.0,4,6,0.667,0,3,3,2,2,0,1,0,3,3,8,0,15.6,0,0,15.0,9,4,1,1,10,10,10,1,1,2,1,9,7,7,10,10,10,7,9,9,10,1,1,10,10,4,10,4,1,10,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,Over 20 Points
Score Differential,W,17,17,0,1.0,305.65,36,57,0.632,0,1,0.0,26,36,0.722,27,60,87,14,27,9,30,4,54,28,98,40,313.4,1,0,277.0,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,0.0,All
Score Differential,L,15,0,15,0.0,276.39166666666665,55,70,0.786,0,0,0.0,23,39,0.59,30,42,72,8,18,13,17,3,34,33,133,-40,303.4,1,0,273.0,1,6,10,6,1,1,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,9,10,1,1,8,1,1,1,1,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,11-15 Points
Score Differential,L,11,0,11,0.0,137.55,17,23,0.739,0,0,0.0,8,11,0.727,16,25,41,1,7,5,10,1,21,14,42,-5,130.7,0,0,114.0,2,6,9,6,3,3,4,3,1,2,1,3,3,6,2,2,2,8,5,3,4,3,7,2,3,6,3,4,1,2,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,6-10 Points
Score Differential,L,9,0,9,0.0,166.01333333333332,13,28,0.464,0,0,0.0,7,8,0.875,15,20,35,6,9,3,16,6,32,13,33,-45,132.0,0,0,112.0,3,6,8,6,2,4,2,10,1,2,1,4,6,3,3,4,3,2,4,4,2,10,9,4,4,9,2,4,1,3,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,5 Points and Under
Score Differential,L,8,0,8,0.0,99.76833333333333,20,28,0.714,0,0,0.0,11,14,0.786,9,16,25,1,12,2,9,1,9,14,51,-48,103.5,0,0,99.0,4,6,7,6,5,2,2,4,1,2,1,2,2,5,5,7,7,8,2,6,5,3,4,2,2,10,4,4,1,4,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,16-20 Points
Score Differential,L,6,0,6,0.0,91.75833333333334,11,16,0.688,0,0,0.0,4,5,0.8,7,20,27,3,5,3,8,1,14,8,26,-32,90.9,1,0,78.0,5,6,6,6,6,6,6,5,1,2,1,9,9,4,7,4,6,5,8,4,6,3,5,5,6,7,7,1,1,7,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,,Over 20 Points
Score Differential,L,49,0,49,0.0,771.4816666666667,116,165,0.703,0,0,0.0,53,77,0.688,77,123,200,19,51,26,60,12,110,82,285,-170,760.5,2,0,676.0,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1641737,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:24.943014,0.0,All
Points Scored,W,14,14,0,1.0,236.89666666666668,29,48,0.604,0,1,0.0,21,30,0.7,22,46,68,12,18,6,22,4,39,22,79,43,244.6,1,0,215.0,2,1,1,1,2,2,2,4,1,1,1,2,2,3,2,2,2,2,2,2,2,4,4,2,2,1,2,1,1,2,1,1641737,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:24.943014,,100+ Points 
Points Scored,W,3,3,0,1.0,68.75333333333333,7,9,0.778,0,0,0.0,5,6,0.833,5,14,19,2,9,3,8,0,15,6,19,-3,68.8,0,0,62.0,5,2,1,1,4,4,4,1,1,2,1,5,4,2,4,4,4,4,4,4,4,1,2,5,4,2,4,4,1,4,1,1641737,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:24.943014,,90-99 Points
Points Scored,W,17,17,0,1.0,305.65,36,57,0.632,0,1,0.0,26,36,0.722,27,60,87,14,27,9,30,4,54,28,98,40,313.4,1,0,277.0,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1641737,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:24.943014,0.0,All
Points Scored,L,33,0,33,0.0,553.5216666666666,93,129,0.721,0,0,0.0,41,60,0.683,62,86,148,13,34,17,39,9,76,59,227,-125,558.1,1,0,500.0,1,3,5,3,1,1,1,3,1,2,1,1,1,4,1,1,1,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1641737,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:24.943014,,100+ Points 
Points Scored,L,12,0,12,0.0,172.43833333333333,21,29,0.724,0,0,0.0,6,11,0.545,12,29,41,6,13,6,14,1,25,13,48,-37,153.2,1,0,135.0,3,3,4,3,3,3,3,2,1,2,1,3,3,5,3,3,3,3,3,2,3,2,3,3,3,4,3,1,1,3,1,1641737,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:24.943014,,90-99 Points
Points Scored,L,4,0,4,0.0,45.52166666666667,2,7,0.286,0,0,0.0,6,6,1.0,3,8,11,0,4,3,7,2,9,10,10,-8,49.2,0,0,41.0,4,3,3,3,5,5,5,5,1,2,1,3,4,1,5,5,5,5,5,4,5,3,1,4,5,3,5,4,1,5,1,1641737,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:24.943014,,80-89 Points
Points Scored,L,49,0,49,0.0,771.4816666666667,116,165,0.703,0,0,0.0,53,77,0.688,77,123,200,19,51,26,60,12,110,82,285,-170,760.5,2,0,676.0,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1641737,PlayerDashboardByTeamPerformance,2,2025-08-10T12:54:24.943014,0.0,All
Points Against,W,9,9,0,1.0,152.245,20,33,0.606,0,1,0.0,16,22,0.727,19,25,44,7,13,3,14,3,21,15,56,21,157.3,1,0,141.0,2,1,1,1,2,2,2,4,1,1,1,2,2,3,2,3,2,2,2,3,2,5,4,2,2,1,2,2,1,2,1,1641737,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:24.943014,,100+ Points 
Points Against,W,6,6,0,1.0,107.82166666666667,12,19,0.632,0,0,0.0,9,12,0.75,4,29,33,5,10,4,9,1,25,11,33,12,109.1,0,0,97.0,3,2,1,1,3,3,3,3,1,2,1,3,3,2,3,2,3,3,3,2,3,2,5,3,3,2,3,3,1,3,1,1641737,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:24.943014,,90-99 Points
Points Against,W,2,2,0,1.0,45.583333333333336,4,5,0.8,0,0,0.0,1,2,0.5,4,6,10,2,4,2,7,0,8,2,9,7,47.0,0,0,39.0,5,3,1,1,4,5,5,1,1,2,1,5,5,5,3,5,5,4,4,5,4,1,2,6,5,3,4,3,1,5,1,1641737,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:24.943014,,80-89 Points
Points Against,W,17,17,0,1.0,305.65,36,57,0.632,0,1,0.0,26,36,0.722,27,60,87,14,27,9,30,4,54,28,98,40,313.4,1,0,277.0,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1641737,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:24.943014,0.0,All
Points Against,L,45,0,45,0.0,705.9866666666667,110,152,0.724,0,0,0.0,47,71,0.662,72,113,185,18,44,23,50,9,94,70,267,-148,691.0,2,0,616.0,1,4,6,4,1,1,1,2,1,2,1,1,1,4,1,1,1,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1641737,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:24.943014,,100+ Points 
Points Against,L,3,0,3,0.0,42.745,6,11,0.545,0,0,0.0,0,0,0.0,4,7,11,1,4,3,5,2,10,7,12,-14,46.7,0,0,40.0,4,4,5,4,5,4,4,5,1,2,1,6,6,6,3,4,4,5,4,3,5,4,3,4,4,5,5,3,1,4,1,1641737,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:24.943014,,90-99 Points
Points Against,L,1,0,1,0.0,22.75,0,2,0.0,0,0,0.0,6,6,1.0,1,3,4,0,3,0,5,1,6,5,6,-8,22.8,0,0,20.0,6,4,4,4,6,6,6,6,1,2,1,4,4,1,6,6,6,6,6,6,5,2,1,5,6,4,6,3,1,6,1,1641737,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:24.943014,,80-89 Points
Points Against,L,49,0,49,0.0,771.4816666666667,116,165,0.703,0,0,0.0,53,77,0.688,77,123,200,19,51,26,60,12,110,82,285,-170,760.5,2,0,676.0,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1641737,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:24.943014,0.0,All
