GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Overall,2024-25,1610612745,HOU,2025-04-13T00:00:00,62,39,23,0.629,792.2466666666667,117,268,0.437,72,181,0.398,34,41,0.829,13,65,78,83,37,19,11,11,64,49,340,88,611.1,0,0,633.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1628988,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:52.368698
By Year,2024-25,1610612745,HOU,2025-04-13T00:00:00,62,39,23,0.629,792.2466666666667,117,268,0.437,72,181,0.398,34,41,0.829,13,65,78,83,37,19,11,11,64,49,340,88,611.1,0,0,633.0,5,2,5,3,5,4,4,3,3,4,3,5,5,5,6,4,4,6,6,7,5,5,5,6,4,3,4,3,1,4,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2023-24,1610612745,HOU,2024-04-14T00:00:00,78,39,39,0.5,1269.2966666666666,186,417,0.446,84,217,0.387,58,63,0.921,23,100,123,140,53,42,6,20,125,65,514,85,962.6,0,0,957.0,1,2,10,6,2,2,3,2,2,2,5,3,3,2,2,2,2,2,3,3,7,8,10,3,2,4,2,3,1,2,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2022-23,1610612737,ATL,2023-04-09T00:00:00,63,32,31,0.508,845.2566666666667,92,220,0.418,36,88,0.409,27,32,0.844,25,49,74,89,36,37,12,16,79,50,247,17,580.3,0,0,544.0,4,4,8,5,4,7,6,4,6,6,2,8,8,4,1,7,5,4,7,4,4,7,7,5,7,6,5,3,1,6,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2021-22,-1,TOT,2022-04-10T00:00:00,63,34,29,0.54,1020.75,151,338,0.447,39,103,0.379,59,68,0.868,24,98,122,153,67,42,9,18,92,74,400,-39,861.9,0,0,816.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2021-22,1610612756,PHX,2022-04-10T00:00:00,22,16,6,0.727,358.0883333333333,51,124,0.411,16,36,0.444,31,33,0.939,15,40,55,75,28,18,0,8,32,30,149,47,353.5,0,0,331.0,8,8,3,1,8,8,8,6,8,8,1,6,7,1,4,8,8,8,8,8,10,3,3,8,8,5,8,3,1,8,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2021-22,1610612764,WAS,2022-02-07T00:00:00,41,18,23,0.439,662.6616666666666,100,214,0.467,23,67,0.343,28,35,0.8,9,58,67,78,39,24,9,10,60,44,251,-86,508.4,0,0,485.0,7,7,5,8,6,6,7,1,7,7,7,7,6,8,7,6,6,7,5,5,6,4,4,7,6,10,7,3,1,7,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2020-21,1610612754,IND,2021-05-10T00:00:00,66,30,36,0.455,1176.0866666666666,170,436,0.39,67,182,0.368,68,83,0.819,15,74,89,123,66,46,13,32,94,74,475,3,877.3,1,0,872.0,2,6,9,7,3,3,2,8,4,3,6,2,2,7,4,3,3,3,2,2,2,10,8,2,3,7,3,2,1,3,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2019-20,1610612754,IND,2020-08-14T00:00:00,66,42,24,0.636,1617.3316666666667,233,563,0.414,87,221,0.394,74,87,0.851,22,134,156,225,88,55,16,27,120,115,627,113,1276.7,3,0,1237.0,2,1,7,2,1,1,1,5,1,1,4,1,1,3,3,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2019,1610612754,IND,2019-07-11T00:00:00,3,0,3,0.0,105.01666666666667,21,69,0.304,7,26,0.269,18,24,0.75,3,5,8,12,10,1,3,6,11,20,67,-51,96.6,0,0,102.0,10,10,1,10,10,9,9,10,9,9,10,9,9,9,10,10,10,10,10,10,8,2,1,9,9,9,10,3,1,10,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2018-19,1610612754,IND,2019-04-10T00:00:00,50,31,19,0.62,645.83,105,262,0.401,43,127,0.339,41,50,0.82,5,62,67,87,40,21,13,12,71,58,294,102,566.9,0,0,559.0,6,5,4,4,7,5,5,7,5,5,8,4,4,6,8,5,6,5,4,6,2,6,6,4,5,2,6,3,1,5,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
By Year,2018,1610612754,,2018-07-11T00:00:00,4,1,3,0.25,120.56666666666666,21,61,0.344,7,24,0.292,9,12,0.75,5,15,20,27,22,11,2,2,18,20,58,-2,139.5,0,0,138.0,9,9,1,9,9,9,10,9,9,10,9,10,10,9,8,9,9,9,9,9,9,1,2,9,10,8,9,3,1,9,1,1628988,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:52.368698
Overall,2024-25,1610612754,IND,2025-04-13T00:00:00,45,29,16,0.644,1121.6183333333333,192,379,0.507,84,195,0.431,73,80,0.913,37,141,178,54,37,35,17,22,114,77,541,198,954.6,0,0,961.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1630174,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:57.384951
By Year,2024-25,1610612754,IND,2025-04-13T00:00:00,45,29,16,0.644,1121.6183333333333,192,379,0.507,84,195,0.431,73,80,0.913,37,141,178,54,37,35,17,22,114,77,541,198,954.6,0,0,961.0,5,4,4,2,3,3,3,1,3,3,1,3,3,2,3,3,3,3,3,3,3,6,6,3,3,1,3,3,1,3,1,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
By Year,2023-24,1610612754,IND,2024-04-14T00:00:00,72,41,31,0.569,1994.655,315,635,0.496,140,334,0.419,107,137,0.781,63,212,275,108,64,65,49,51,241,145,877,161,1647.0,1,0,1628.0,2,1,7,4,1,1,1,3,1,1,2,2,2,7,1,2,2,1,2,1,1,8,8,1,1,2,1,1,1,1,1,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
By Year,2022-23,1610612754,IND,2023-04-09T00:00:00,73,30,43,0.411,1816.4033333333334,252,590,0.427,115,314,0.366,119,142,0.838,62,215,277,98,75,55,34,46,235,141,738,-211,1409.4,1,0,1406.0,1,3,8,7,2,2,2,6,2,2,4,1,1,3,2,1,1,2,1,2,2,7,7,2,2,8,2,1,1,2,1,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
By Year,2022,1610612754,IND,2022-07-17T00:00:00,3,1,2,0.333,78.9,10,37,0.27,5,20,0.25,4,6,0.667,1,15,16,2,11,7,0,5,16,9,29,-1,61.2,0,0,66.0,7,7,3,8,7,7,7,8,7,7,7,6,6,8,7,7,7,8,7,6,7,4,3,7,7,5,7,3,1,7,1,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
By Year,2021-22,-1,TOT,2022-04-10T00:00:00,54,33,21,0.611,619.5783333333334,82,204,0.402,33,125,0.264,24,29,0.828,15,86,101,26,37,21,5,4,74,32,223,19,424.2,0,0,435.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
By Year,2021-22,1610612738,BOS,2022-04-10T00:00:00,52,32,20,0.615,573.8783333333333,72,182,0.396,31,115,0.27,21,26,0.808,15,74,89,22,31,20,5,2,70,28,196,22,379.8,0,0,388.0,3,2,5,3,5,5,4,7,5,4,6,5,5,4,5,5,5,5,4,4,5,2,4,5,5,4,5,3,1,5,1,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
By Year,2021-22,1612709915,MNE,2022-03-22T00:00:00,2,1,1,0.5,45.7,10,22,0.455,2,10,0.2,3,3,1.0,0,12,12,4,6,1,0,2,4,4,27,-3,44.4,0,0,47.0,8,7,1,5,8,7,8,4,8,8,8,8,8,1,8,8,8,7,8,8,7,2,1,8,8,6,8,3,1,8,1,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
By Year,2021,1610612738,BOS,2021-08-17T00:00:00,5,4,1,0.8,133.35,35,70,0.5,13,36,0.361,4,5,0.8,5,26,31,9,13,4,3,0,12,10,87,46,145.7,0,0,154.0,6,6,1,1,6,6,6,2,6,6,5,6,7,5,6,6,6,6,6,7,6,1,2,6,6,3,6,3,1,6,1,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
By Year,2020-21,1610612738,BOS,2021-05-16T00:00:00,46,22,24,0.478,668.7316666666667,78,178,0.438,40,108,0.37,22,28,0.786,28,99,127,23,23,15,9,12,87,29,218,-7,453.9,0,0,456.0,4,5,6,6,4,4,5,5,4,5,3,4,4,6,4,4,4,4,5,5,4,5,5,4,4,7,4,3,1,4,1,1630174,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:57.384951
Overall,2024-25,1610612760,OKC,2025-04-13T00:00:00,76,62,14,0.816,1743.9,355,728,0.488,130,339,0.383,74,89,0.831,81,214,295,134,69,60,18,39,101,68,914,514,1634.0,2,0,1629.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1630598,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:02.854795
By Year,2024-25,1610612760,OKC,2025-04-13T00:00:00,76,62,14,0.816,1743.9,355,728,0.488,130,339,0.383,74,89,0.831,81,214,295,134,69,60,18,39,101,68,914,514,1634.0,2,0,1629.0,2,1,4,1,1,1,1,4,1,1,4,1,1,2,1,1,1,1,1,1,2,7,6,1,1,1,1,1,1,1,1,1630598,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:02.854795
By Year,2023-24,1610612760,OKC,2024-04-14T00:00:00,78,55,23,0.705,1227.9383333333333,212,377,0.562,62,126,0.492,56,71,0.789,60,126,186,86,56,56,19,33,91,59,542,94,1063.2,0,0,1026.0,1,2,5,2,3,2,2,2,2,3,2,4,3,4,3,4,3,2,2,2,1,5,4,4,2,2,2,3,1,2,1,1630598,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:02.854795
By Year,2022-23,-1,TOT,2023-04-09T00:00:00,71,37,34,0.521,1328.8033333333333,192,378,0.508,49,127,0.386,60,73,0.822,69,148,217,87,60,40,17,33,114,63,493,24,994.9,1,0,960.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1630598,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:02.854795
By Year,2022-23,1610612760,OKC,2023-04-09T00:00:00,70,37,33,0.529,1297.4366666666667,186,363,0.512,48,122,0.393,59,71,0.831,68,143,211,80,56,39,15,33,110,61,479,9,958.2,1,0,926.0,3,3,6,4,2,3,3,3,3,4,3,3,3,3,2,2,2,3,2,3,3,5,7,3,3,5,3,2,1,3,1,1630598,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:02.854795
By Year,2022-23,1612709889,OKL,2023-02-15T00:00:00,1,0,1,0.0,31.366666666666667,6,15,0.4,1,5,0.2,1,2,0.5,1,5,6,7,4,1,2,0,4,2,14,15,36.7,0,0,34.0,7,7,1,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,7,5,1,1,7,7,4,7,3,1,7,1,1630598,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:02.854795
By Year,2022,1610612760,OKC,2022-07-13T00:00:00,5,3,2,0.6,109.6,19,31,0.613,6,11,0.545,6,7,0.857,4,11,15,4,4,3,2,3,10,11,50,21,85.0,0,0,85.0,5,5,2,3,6,6,6,1,5,6,1,5,6,1,5,6,6,7,6,6,5,3,3,5,6,3,6,3,1,6,1,1630598,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:02.854795
By Year,2021-22,1610612760,OKC,2022-04-03T00:00:00,50,13,37,0.26,1208.75,156,337,0.463,42,138,0.304,62,85,0.729,51,127,178,68,54,30,10,21,93,63,416,-235,797.6,0,0,784.0,4,4,7,6,4,4,4,5,4,2,5,2,2,5,4,3,4,4,4,4,4,4,5,2,4,7,4,3,1,4,1,1630598,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:02.854795
By Year,2021,1610612760,OKC,2021-08-16T00:00:00,5,2,3,0.4,119.205,23,54,0.426,4,20,0.2,6,9,0.667,4,20,24,12,12,6,1,2,6,11,56,-25,111.8,0,0,110.0,5,6,3,5,5,5,5,6,6,5,6,5,5,6,5,5,5,5,5,5,7,2,2,5,5,6,5,3,1,5,1,1630598,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:02.854795
Overall,2024-25,-1,TOT,2025-04-13T00:00:00,38,35,3,0.921,231.29833333333335,35,116,0.302,22,83,0.265,3,4,0.75,9,25,34,17,5,9,3,2,18,5,96,46,193.3,0,0,193.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1641745,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:08.693231
Overall,2024-25,1610612760,OKC,2025-04-13T00:00:00,37,34,3,0.919,202.965,25,96,0.26,14,72,0.194,1,2,0.5,7,20,27,12,4,8,3,2,15,1,65,7,144.4,0,0,140.0,1,1,2,2,1,2,1,3,2,1,3,3,2,3,1,1,1,1,1,1,1,2,3,3,2,2,1,1,1,1,1,1641745,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:08.693231
Overall,2024-25,1612709889,OKL,2025-03-10T00:00:00,1,1,0,1.0,28.333333333333332,10,20,0.5,8,11,0.727,2,2,1.0,2,5,7,5,1,1,0,0,3,4,31,39,48.9,0,0,53.0,3,3,1,1,3,3,3,1,3,3,1,2,2,1,3,3,3,3,3,3,2,1,1,2,3,1,3,1,1,3,1,1641745,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:08.693231
Overall,2024,1610612760,OKC,2024-07-15T00:00:00,5,2,3,0.4,126.20166666666667,29,68,0.426,18,45,0.4,4,6,0.667,3,10,13,7,3,3,0,2,9,8,80,-20,112.1,0,0,124.0,2,2,2,3,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,1,2,1,1641745,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:08.693231
By Year,2025,1610612737,ATL,2025-07-20T00:00:00,5,4,1,0.8,94.05,17,49,0.347,8,26,0.308,4,5,0.8,4,7,11,11,6,3,1,8,5,11,46,3,81.7,0,0,84.0,3,3,3,4,4,4,4,4,4,4,4,2,3,3,3,4,4,3,2,3,3,5,3,2,4,4,4,1,1,4,1,1641745,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:08.693231
By Year,2024-25,-1,TOT,2025-04-13T00:00:00,38,35,3,0.921,231.29833333333335,35,116,0.302,22,83,0.265,3,4,0.75,9,25,34,17,5,9,3,2,18,5,96,46,193.3,0,0,193.0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1641745,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:08.693231
By Year,2024-25,1610612760,OKC,2025-04-13T00:00:00,37,34,3,0.919,202.965,25,96,0.26,14,72,0.194,1,2,0.5,7,20,27,12,4,8,3,2,15,1,65,7,144.4,0,0,140.0,1,1,4,3,2,3,2,5,3,2,5,5,4,5,2,2,2,2,3,2,1,3,5,5,3,3,2,1,1,2,1,1641745,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:08.693231
By Year,2024-25,1612709889,OKL,2025-03-10T00:00:00,1,1,0,1.0,28.333333333333332,10,20,0.5,8,11,0.727,2,2,1.0,2,5,7,5,1,1,0,0,3,4,31,39,48.9,0,0,53.0,6,6,1,1,5,5,5,1,4,5,1,4,4,1,5,5,5,5,5,5,4,1,2,4,5,2,5,1,1,5,1,1641745,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:08.693231
By Year,2024,1610612760,OKC,2024-07-15T00:00:00,5,2,3,0.4,126.20166666666667,29,68,0.426,18,45,0.4,4,6,0.667,3,10,13,7,3,3,0,2,9,8,80,-20,112.1,0,0,124.0,3,4,4,6,3,2,3,3,2,3,3,2,2,4,4,3,3,4,4,3,4,3,4,3,2,6,3,1,1,3,1,1641745,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:08.693231
By Year,2023-24,-1,TOT,2024-04-10T00:00:00,32,22,10,0.688,788.195,155,355,0.437,85,213,0.399,19,20,0.95,22,76,98,104,26,22,3,10,52,32,426,213,748.6,0,0,763.0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1641745,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:08.693231
By Year,2023-24,1610612760,OKC,2024-04-10T00:00:00,2,2,0,1.0,14.016666666666667,1,7,0.143,1,6,0.167,0,0,0.0,0,0,0,4,0,0,0,0,0,0,3,0,9.0,0,0,8.0,5,4,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,1,6,6,5,6,1,1,6,1,1641745,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:08.693231
By Year,2023-24,1612709889,OKL,2024-03-30T00:00:00,30,20,10,0.667,774.1783333333333,154,348,0.443,84,207,0.406,19,20,0.95,22,76,98,100,26,22,3,10,52,32,423,213,739.6,0,0,755.0,2,2,6,5,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1641745,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:08.693231
Overall,2024-25,-1,TOT,2025-02-02T00:00:00,15,5,10,0.333,320.8616666666667,79,149,0.53,5,12,0.417,15,20,0.75,56,60,116,19,22,7,14,17,34,31,186,-45,394.7,6,0,368.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1641766,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:13.736627
Overall,2024-25,1612709923,WCB,2025-02-02T00:00:00,11,3,8,0.273,299.36333333333334,75,142,0.528,5,12,0.417,15,20,0.75,51,59,110,18,21,7,14,16,33,30,178,-40,379.0,6,0,353.0,1,1,3,3,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,1641766,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:13.736627
Overall,2024-25,1610612741,CHI,2024-12-13T00:00:00,4,2,2,0.5,21.498333333333335,4,7,0.571,0,0,0.0,0,0,0.0,5,1,6,1,1,0,0,1,1,1,8,-5,15.7,0,0,15.0,2,2,1,1,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,1,1,3,3,2,3,3,1,3,1,1641766,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:13.736627
Overall,2024,1610612741,CHI,2024-07-19T00:00:00,4,2,2,0.5,100.355,23,37,0.622,0,2,0.0,14,16,0.875,15,20,35,3,11,7,4,2,18,10,60,18,128.5,1,0,120.0,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1641766,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:13.736627
By Year,2025,1610612762,UTA,2025-07-16T00:00:00,7,4,3,0.571,97.17666666666666,12,14,0.857,0,0,0.0,4,5,0.8,13,22,35,8,7,3,4,2,13,15,28,-5,96.0,0,0,85.0,4,2,4,2,4,6,6,1,2,5,2,6,6,2,6,3,5,3,4,5,4,2,3,3,6,5,5,5,1,5,1,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
By Year,2024-25,-1,TOT,2025-02-02T00:00:00,15,5,10,0.333,320.8616666666667,79,149,0.53,5,12,0.417,15,20,0.75,56,60,116,19,22,7,14,17,34,31,186,-45,394.7,6,0,368.0,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
By Year,2024-25,1612709923,WCB,2025-02-02T00:00:00,11,3,8,0.273,299.36333333333334,75,142,0.528,5,12,0.417,15,20,0.75,51,59,110,18,21,7,14,16,33,30,178,-40,379.0,6,0,353.0,2,3,6,7,2,2,2,6,1,1,1,2,2,3,2,2,2,2,2,2,2,6,6,2,2,7,2,2,1,2,1,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
By Year,2024-25,1610612741,CHI,2024-12-13T00:00:00,4,2,2,0.5,21.498333333333335,4,7,0.571,0,0,0.0,0,0,0.0,5,1,6,1,1,0,0,1,1,1,8,-5,15.7,0,0,15.0,6,6,1,3,7,7,7,5,2,5,2,7,7,7,7,7,7,6,7,7,6,1,1,7,7,5,7,5,1,7,1,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
By Year,2024,1610612741,CHI,2024-07-19T00:00:00,4,2,2,0.5,100.355,23,37,0.622,0,2,0.0,14,16,0.875,15,20,35,3,11,7,4,2,18,10,60,18,128.5,1,0,120.0,6,6,1,3,3,3,3,3,2,2,2,3,3,1,5,4,5,5,3,2,4,2,5,5,3,3,4,3,1,4,1,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
By Year,2023-24,-1,TOT,2024-04-12T00:00:00,38,17,21,0.447,943.975,282,463,0.609,0,2,0.0,74,102,0.725,198,205,403,50,66,20,33,47,111,124,673,61,1324.6,23,0,1232.0,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
By Year,2023-24,1610612741,CHI,2024-04-12T00:00:00,9,3,6,0.333,65.76166666666667,14,27,0.519,0,0,0.0,8,12,0.667,19,17,36,0,5,1,0,2,5,7,36,34,77.2,1,0,74.0,3,3,5,6,6,5,5,7,2,5,2,4,4,5,4,6,4,7,5,6,6,2,2,6,5,1,6,3,1,6,1,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
By Year,2023-24,1612709923,WCB,2024-03-30T00:00:00,29,14,15,0.483,878.2133333333334,268,436,0.615,0,2,0.0,66,90,0.733,179,188,367,50,61,19,33,45,106,117,637,27,1247.4,22,0,1158.0,1,1,7,5,1,1,1,4,2,2,2,1,1,4,1,1,1,1,1,1,1,7,7,1,1,2,1,1,1,1,1,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
By Year,2023,1610612741,CHI,2023-07-15T00:00:00,5,3,2,0.6,92.0,23,35,0.657,0,2,0.0,5,12,0.417,22,20,42,4,3,7,5,3,15,14,51,7,140.4,0,0,121.0,5,3,1,1,5,3,4,2,2,2,2,5,4,6,3,4,3,4,6,2,3,5,4,4,4,4,3,5,1,3,1,1641766,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:13.736627
Overall,2024-25,1610612755,PHI,2025-04-13T00:00:00,58,12,46,0.207,904.55,135,192,0.703,0,1,0.0,67,100,0.67,92,153,245,27,61,26,69,13,125,90,337,-112,895.5,3,0,799.0,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1641737,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:18.501210
Overall,2024,1610612755,PHI,2024-07-21T00:00:00,8,5,3,0.625,172.58166666666668,17,30,0.567,0,0,0.0,12,13,0.923,12,30,42,6,17,9,21,3,39,20,46,-18,178.4,0,0,154.0,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1641737,PlayerDashboardByYearOverYear,0,2025-08-10T12:55:18.501210
By Year,2025,1610612755,PHI,2025-07-15T00:00:00,5,1,4,0.2,120.33,19,33,0.576,0,2,0.0,5,8,0.625,12,18,30,4,13,5,13,6,24,15,43,-14,126.0,0,0,113.0,3,3,2,3,3,2,2,2,1,1,1,3,3,3,2,3,3,3,3,3,3,2,1,3,3,1,3,2,1,3,1,1641737,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:18.501210
By Year,2024-25,1610612755,PHI,2025-04-13T00:00:00,58,12,46,0.207,904.55,135,192,0.703,0,1,0.0,67,100,0.67,92,153,245,27,61,26,69,13,125,90,337,-112,895.5,3,0,799.0,1,1,3,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,1641737,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:18.501210
By Year,2024,1610612755,PHI,2024-07-21T00:00:00,8,5,3,0.625,172.58166666666668,17,30,0.567,0,0,0.0,12,13,0.923,12,30,42,6,17,9,21,3,39,20,46,-18,178.4,0,0,154.0,2,2,1,1,2,3,3,3,1,3,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1641737,PlayerDashboardByYearOverYear,1,2025-08-10T12:55:18.501210
